[run number];max-tezina;min-tezina;postotak-tabu-lista;slucajni-graf-n;[step];dubina-agenti;sirina-agenti;uniform-cost-agenti;dubina-ticks;sirina-ticks;pohlepni-ticks;uniform-ticks;tabu-ticks;tabu-rjesenje?;pohlepni-rjesenje?
521;50000;1000;50;20;1;27;11;11;25;25;2;25;2;TRUE;TRUE
522;50000;1000;50;20;1;52;41;29;34;34;9;34;9;TRUE;TRUE
523;50000;1000;50;20;1;37;25;25;61;61;8;61;7;FALSE;FALSE
524;50000;1000;50;20;1;664;546;350;621;621;14;621;14;TRUE;TRUE
525;50000;1000;50;20;1;22;22;22;30;30;8;30;7;FALSE;FALSE
526;50000;1000;50;20;1;2;2;2;6;6;2;6;1;FALSE;FALSE
527;50000;1000;50;20;1;15;15;15;30;30;5;30;5;TRUE;TRUE
528;50000;1000;50;20;1;26;34;19;32;32;3;32;3;TRUE;TRUE
529;50000;1000;50;21;1;7;7;7;9;9;6;9;6;TRUE;TRUE
530;50000;1000;50;21;1;27;12;12;26;26;11;26;10;FALSE;FALSE
531;50000;1000;50;21;1;176;49;49;140;140;9;140;8;FALSE;FALSE
532;50000;1000;50;21;1;389;181;181;254;254;5;254;5;TRUE;TRUE
533;50000;1000;50;21;1;1;1;1;3;3;1;3;1;TRUE;TRUE
534;50000;1000;50;21;1;70;66;63;57;57;5;57;4;FALSE;FALSE
535;50000;1000;50;21;1;51;54;51;81;81;2;81;1;FALSE;FALSE
536;50000;1000;50;21;1;664;435;268;525;525;12;525;11;FALSE;FALSE
537;50000;1000;50;21;1;41;39;38;76;76;4;76;3;FALSE;FALSE
538;50000;1000;50;21;1;23;16;10;14;14;2;14;2;TRUE;TRUE
539;50000;1000;50;21;1;37;31;29;65;65;5;65;4;FALSE;FALSE
540;50000;1000;50;21;1;204;121;82;178;178;7;178;6;FALSE;FALSE
541;50000;1000;50;21;1;85;115;21;57;57;3;57;3;TRUE;TRUE
542;50000;1000;50;21;1;46;48;46;52;52;15;52;14;FALSE;FALSE
543;50000;1000;50;21;1;30;33;30;30;30;12;30;11;FALSE;FALSE
544;50000;1000;50;21;1;418;20;20;262;262;7;262;6;FALSE;FALSE
545;50000;1000;50;22;1;68;50;35;78;78;6;78;5;FALSE;FALSE
546;50000;1000;50;22;1;12;12;12;12;12;3;12;3;TRUE;TRUE
547;50000;1000;50;22;1;4;4;4;3;3;1;3;1;TRUE;TRUE
548;50000;1000;50;22;1;230;57;53;158;158;10;158;10;TRUE;TRUE
549;50000;1000;50;22;1;10;10;10;6;6;5;6;5;TRUE;TRUE
550;50000;1000;50;22;1;75;58;28;84;84;6;84;5;FALSE;FALSE
551;50000;1000;50;22;1;11;11;11;18;18;3;18;2;FALSE;FALSE
552;50000;1000;50;22;1;12;12;12;9;9;9;9;8;FALSE;FALSE
553;50000;1000;50;22;1;755;359;286;554;554;19;554;18;FALSE;FALSE
554;50000;1000;50;22;1;60;50;31;73;73;8;73;7;FALSE;FALSE
555;50000;1000;50;22;1;193;86;70;98;98;3;98;2;FALSE;FALSE
556;50000;1000;50;22;1;5;5;5;8;8;2;8;2;TRUE;TRUE
557;50000;1000;50;22;1;18;27;18;14;14;3;14;3;TRUE;TRUE
558;50000;1000;50;22;1;9;13;9;11;11;3;11;3;TRUE;TRUE
559;50000;1000;50;22;1;7;7;7;3;3;1;3;1;TRUE;TRUE
560;50000;1000;50;22;1;16;16;16;9;9;6;9;6;TRUE;TRUE
561;50000;1000;50;23;1;49;49;49;51;51;14;51;13;FALSE;FALSE
562;50000;1000;50;23;1;38;16;11;42;42;4;42;4;TRUE;TRUE
563;50000;1000;50;23;1;46;69;23;43;43;9;43;9;TRUE;TRUE
564;50000;1000;50;23;1;183;109;85;73;73;15;73;15;TRUE;TRUE
565;50000;1000;50;23;1;22;22;22;45;45;2;45;1;FALSE;FALSE
566;50000;1000;50;23;1;2;2;2;3;3;1;3;1;TRUE;TRUE
567;50000;1000;50;23;1;130;105;92;113;113;12;113;11;FALSE;FALSE
568;50000;1000;50;23;1;18;17;14;20;20;13;20;12;FALSE;FALSE
569;50000;1000;50;23;1;55;66;28;52;52;5;52;4;FALSE;FALSE
570;50000;1000;50;23;1;338;74;64;181;181;9;181;9;TRUE;TRUE
571;50000;1000;50;23;1;23;23;23;24;24;2;24;1;FALSE;FALSE
572;50000;1000;50;23;1;68;46;22;40;40;5;40;5;TRUE;TRUE
573;50000;1000;50;23;1;35;90;35;32;32;13;32;13;TRUE;TRUE
574;50000;1000;50;23;1;5;5;5;6;6;11;6;10;FALSE;FALSE
575;50000;1000;50;23;1;173;39;39;102;102;13;102;13;TRUE;TRUE
576;50000;1000;50;23;1;106;98;83;83;83;9;83;9;TRUE;TRUE
577;50000;1000;50;24;1;208;208;208;231;231;11;231;10;FALSE;FALSE
578;50000;1000;50;24;1;154;69;35;137;137;6;137;5;FALSE;FALSE
579;50000;1000;50;24;1;70;37;18;33;33;2;33;2;TRUE;TRUE
580;50000;1000;50;24;1;107;44;15;35;35;2;35;2;TRUE;TRUE
581;50000;1000;50;24;1;18;19;18;22;22;8;22;7;FALSE;FALSE
582;50000;1000;50;24;1;129;33;27;94;94;3;94;3;TRUE;TRUE
583;50000;1000;50;24;1;1354;572;496;965;965;8;965;7;FALSE;FALSE
584;50000;1000;50;24;1;62;84;58;50;50;16;50;16;TRUE;TRUE
585;50000;1000;50;24;1;445;250;244;257;257;14;257;13;FALSE;FALSE
586;50000;1000;50;24;1;2;2;2;3;3;1;3;1;TRUE;TRUE
587;50000;1000;50;24;1;8;8;8;12;12;4;12;4;TRUE;TRUE
588;50000;1000;50;24;1;159;97;32;75;75;10;75;10;TRUE;TRUE
589;50000;1000;50;24;1;225;136;72;142;142;9;142;8;FALSE;FALSE
590;50000;1000;50;24;1;92;104;83;95;95;8;95;7;FALSE;FALSE
591;50000;1000;50;24;1;35;25;22;36;36;7;36;6;FALSE;FALSE
592;50000;1000;50;24;1;180;91;84;156;156;3;156;3;TRUE;TRUE
593;50000;1000;50;25;1;62;62;62;27;27;19;27;18;FALSE;FALSE
594;50000;1000;50;25;1;23;29;18;27;27;3;27;3;TRUE;TRUE
595;50000;1000;50;25;1;151;151;151;147;147;12;147;11;FALSE;FALSE
596;50000;1000;50;25;1;1926;428;282;755;755;17;755;16;FALSE;FALSE
597;50000;1000;50;25;1;19;23;19;19;19;7;19;6;FALSE;FALSE
598;50000;1000;50;25;1;135;58;26;94;94;11;94;10;FALSE;FALSE
599;50000;1000;50;25;1;5;5;5;3;3;1;3;1;TRUE;TRUE
600;50000;1000;50;25;1;5;5;5;3;3;1;3;1;TRUE;TRUE
601;50000;1000;50;25;1;242;242;242;174;174;14;174;13;FALSE;FALSE
602;50000;1000;50;25;1;52;33;26;73;73;5;73;5;TRUE;TRUE
603;50000;1000;50;25;1;29;37;29;29;29;16;29;15;FALSE;FALSE
604;50000;1000;50;25;1;222;28;26;123;123;9;123;8;FALSE;FALSE
605;50000;1000;50;25;1;34;35;17;32;32;5;32;5;TRUE;TRUE
606;50000;1000;50;25;1;1165;713;601;734;734;17;734;16;FALSE;FALSE
607;50000;1000;50;25;1;974;209;181;232;232;10;232;10;TRUE;TRUE
608;50000;1000;50;25;1;31;31;31;60;60;4;60;3;FALSE;FALSE
609;50000;1000;50;26;1;5;5;5;9;9;6;9;6;TRUE;TRUE
610;50000;1000;50;26;1;10;10;10;21;21;3;21;2;FALSE;FALSE
611;50000;1000;50;26;1;2211;138;132;945;945;11;945;10;FALSE;FALSE
612;50000;1000;50;26;1;256;260;256;208;208;12;208;11;FALSE;FALSE
613;50000;1000;50;26;1;55;52;52;83;83;3;83;3;TRUE;TRUE
614;50000;1000;50;26;1;92;15;13;47;47;3;47;3;TRUE;TRUE
615;50000;1000;50;26;1;98;59;59;72;72;2;72;1;FALSE;FALSE
616;50000;1000;50;26;1;178;75;63;135;135;6;135;6;TRUE;TRUE
617;50000;1000;50;26;1;111;113;94;130;130;6;130;5;FALSE;FALSE
618;50000;1000;50;26;1;68;97;68;33;33;16;33;16;TRUE;TRUE
619;50000;1000;50;26;1;52;55;52;63;63;8;63;8;TRUE;TRUE
620;50000;1000;50;26;1;170;76;47;166;166;6;166;6;TRUE;TRUE
621;50000;1000;50;26;1;1;1;1;3;3;1;3;1;TRUE;TRUE
622;50000;1000;50;26;1;127;18;11;75;75;2;75;2;TRUE;TRUE
623;50000;1000;50;26;1;186;207;71;68;68;21;68;21;TRUE;TRUE
624;50000;1000;50;26;1;848;561;372;648;648;3;648;2;FALSE;FALSE
625;50000;1000;50;27;1;535;164;162;327;327;13;327;12;FALSE;FALSE
626;50000;1000;50;27;1;347;143;91;143;143;15;143;15;TRUE;TRUE
627;50000;1000;50;27;1;187;186;81;110;110;11;110;10;FALSE;FALSE
628;50000;1000;50;27;1;163;126;125;195;195;2;195;1;FALSE;FALSE
629;50000;1000;50;27;1;138;77;37;95;95;4;95;3;FALSE;FALSE
630;50000;1000;50;27;1;147;87;75;176;176;9;176;8;FALSE;FALSE
631;50000;1000;50;27;1;538;287;144;280;280;11;280;11;TRUE;TRUE
632;50000;1000;50;27;1;5;5;5;3;3;1;3;1;TRUE;TRUE
633;50000;1000;50;27;1;39;55;39;46;46;13;46;12;FALSE;FALSE
634;50000;1000;50;27;1;582;270;111;262;262;19;262;19;TRUE;TRUE
635;50000;1000;50;27;1;435;86;58;210;210;9;210;8;FALSE;FALSE
636;50000;1000;50;27;1;84;76;54;80;80;7;80;7;TRUE;TRUE
637;50000;1000;50;27;1;5;5;5;3;3;1;3;1;TRUE;TRUE
638;50000;1000;50;27;1;112;92;43;90;90;2;90;1;FALSE;FALSE
639;50000;1000;50;27;1;362;278;219;215;215;13;215;13;TRUE;TRUE
640;50000;1000;50;27;1;35;65;35;48;48;8;48;7;FALSE;FALSE
641;50000;1000;50;28;1;46;46;46;57;57;7;57;7;TRUE;TRUE
642;50000;1000;50;28;1;477;246;246;385;385;18;385;18;TRUE;TRUE
643;50000;1000;50;28;1;669;289;119;220;220;10;220;9;FALSE;FALSE
644;50000;1000;50;28;1;158;180;158;100;100;13;100;13;TRUE;TRUE
645;50000;1000;50;28;1;95;95;95;75;75;10;75;9;FALSE;FALSE
646;50000;1000;50;28;1;83;44;20;50;50;3;50;2;FALSE;FALSE
647;50000;1000;50;28;1;19;19;19;12;12;3;12;3;TRUE;TRUE
648;50000;1000;50;28;1;41;57;35;48;48;6;48;6;TRUE;TRUE
649;50000;1000;50;28;1;43;56;43;48;48;6;48;6;TRUE;TRUE
650;50000;1000;50;28;1;23;23;23;24;24;10;24;9;FALSE;FALSE
651;50000;1000;50;28;1;591;618;527;787;787;7;787;6;FALSE;FALSE
652;50000;1000;50;28;1;102;39;18;80;80;15;80;14;FALSE;FALSE
653;50000;1000;50;28;1;386;70;65;271;271;14;271;13;FALSE;FALSE
654;50000;1000;50;28;1;1930;606;606;1587;1587;5;1587;4;FALSE;FALSE
655;50000;1000;50;28;1;261;77;77;102;102;20;102;19;FALSE;FALSE
656;50000;1000;50;28;1;326;275;160;393;393;6;393;6;TRUE;TRUE
657;50000;1000;50;29;1;418;182;182;183;183;18;183;18;TRUE;TRUE
658;50000;1000;50;29;1;14;14;14;15;15;5;15;4;FALSE;FALSE
659;50000;1000;50;29;1;410;47;47;203;203;21;203;20;FALSE;FALSE
660;50000;1000;50;29;1;1394;267;267;589;589;5;589;4;FALSE;FALSE
661;50000;1000;50;29;1;61;58;46;38;38;5;38;5;TRUE;TRUE
662;50000;1000;50;29;1;1139;31;22;448;448;7;448;7;TRUE;TRUE
663;50000;1000;50;29;1;14;14;14;21;21;12;21;11;FALSE;FALSE
664;50000;1000;50;29;1;42;44;42;37;37;6;37;5;FALSE;FALSE
665;50000;1000;50;29;1;1630;1053;481;885;885;12;885;11;FALSE;FALSE
666;50000;1000;50;29;1;8;19;8;9;9;2;9;2;TRUE;TRUE
667;50000;1000;50;29;1;101;57;24;66;66;6;66;5;FALSE;FALSE
668;50000;1000;50;29;1;168;70;38;66;66;12;66;12;TRUE;TRUE
669;50000;1000;50;29;1;503;271;222;353;353;13;353;12;FALSE;FALSE
670;50000;1000;50;29;1;13;16;13;10;10;3;10;3;TRUE;TRUE
671;50000;1000;50;29;1;92;42;33;63;63;4;63;3;FALSE;FALSE
672;50000;1000;50;29;1;180;74;65;116;116;18;116;18;TRUE;TRUE
673;50000;1000;50;30;1;325;146;139;384;384;12;384;12;TRUE;TRUE
674;50000;1000;50;30;1;127;68;57;173;173;5;173;4;FALSE;FALSE
675;50000;1000;50;30;1;11;11;11;12;12;3;12;3;TRUE;TRUE
676;50000;1000;50;30;1;38;38;38;33;33;12;33;11;FALSE;FALSE
677;50000;1000;50;30;1;46;53;46;38;38;10;38;10;TRUE;TRUE
678;50000;1000;50;30;1;6875;662;342;3394;3394;9;3394;8;FALSE;FALSE
679;50000;1000;50;30;1;59;59;59;60;60;4;60;3;FALSE;FALSE
680;50000;1000;50;30;1;26;13;13;31;31;8;31;7;FALSE;FALSE
681;50000;1000;50;30;1;17;17;17;21;21;13;21;12;FALSE;FALSE
682;50000;1000;50;30;1;455;72;72;268;268;10;268;9;FALSE;FALSE
683;50000;1000;50;30;1;1050;302;302;406;406;9;406;9;TRUE;TRUE
684;50000;1000;50;30;1;346;50;19;234;234;4;234;4;TRUE;TRUE
685;50000;1000;50;30;1;525;131;95;304;304;13;304;12;FALSE;FALSE
686;50000;1000;50;30;1;1253;689;498;751;751;17;751;16;FALSE;FALSE
687;50000;1000;50;30;1;80;50;43;60;60;12;60;12;TRUE;TRUE
688;50000;1000;50;30;1;3025;335;325;1204;1204;13;1204;12;FALSE;FALSE
689;50000;1000;50;31;1;830;478;248;632;632;11;632;10;FALSE;FALSE
690;50000;1000;50;31;1;46;46;46;36;36;6;36;5;FALSE;FALSE
691;50000;1000;50;31;1;147;30;22;71;71;13;71;12;FALSE;FALSE
692;50000;1000;50;31;1;8;8;8;6;6;7;6;7;TRUE;TRUE
693;50000;1000;50;31;1;6;6;6;3;3;1;3;1;TRUE;TRUE
694;50000;1000;50;31;1;36;16;16;45;45;3;45;2;FALSE;FALSE
695;50000;1000;50;31;1;5;10;5;8;8;2;8;2;TRUE;TRUE
696;50000;1000;50;31;1;698;310;185;407;407;2;407;1;FALSE;FALSE
697;50000;1000;50;31;1;388;181;162;275;275;14;275;14;TRUE;TRUE
698;50000;1000;50;31;1;294;99;99;201;201;8;201;7;FALSE;FALSE
699;50000;1000;50;31;1;124;125;74;79;79;14;79;14;TRUE;TRUE
700;50000;1000;50;31;1;132;19;16;96;96;9;96;8;FALSE;FALSE
701;50000;1000;50;31;1;65;32;27;65;65;7;65;6;FALSE;FALSE
702;50000;1000;50;31;1;1064;198;165;421;421;3;421;2;FALSE;FALSE
703;50000;1000;50;31;1;794;87;84;364;364;15;364;14;FALSE;FALSE
704;50000;1000;50;31;1;122;61;48;80;80;5;80;4;FALSE;FALSE
705;50000;1000;75;10;1;8;10;8;16;16;5;16;4;FALSE;FALSE
706;50000;1000;75;10;1;8;8;8;15;15;5;15;5;TRUE;TRUE
707;50000;1000;75;10;1;10;7;7;21;21;7;21;7;TRUE;TRUE
708;50000;1000;75;10;1;6;6;6;18;18;3;18;2;FALSE;FALSE
709;50000;1000;75;10;1;2;2;2;3;3;1;3;1;TRUE;TRUE
710;50000;1000;75;10;1;5;5;5;9;9;3;9;2;FALSE;FALSE
711;50000;1000;75;10;1;41;43;41;46;46;4;46;4;TRUE;TRUE
712;50000;1000;75;10;1;2;2;2;3;3;1;3;1;TRUE;TRUE
713;50000;1000;75;10;1;9;9;9;24;24;7;24;6;FALSE;FALSE
714;50000;1000;75;10;1;8;8;8;6;6;6;6;6;TRUE;TRUE
715;50000;1000;75;10;1;17;10;10;18;18;5;18;5;TRUE;TRUE
716;50000;1000;75;10;1;1;1;1;3;3;1;3;1;TRUE;TRUE
717;50000;1000;75;10;1;12;9;9;17;17;4;17;4;TRUE;TRUE
718;50000;1000;75;10;1;1;1;1;3;3;1;3;1;TRUE;TRUE
719;50000;1000;75;10;1;58;25;25;35;35;4;35;4;TRUE;TRUE
720;50000;1000;75;10;1;4;4;4;3;3;1;3;1;TRUE;TRUE
721;50000;1000;75;11;1;4;4;4;3;3;1;3;1;TRUE;TRUE
722;50000;1000;75;11;1;34;22;12;31;31;4;31;3;FALSE;FALSE
723;50000;1000;75;11;1;11;11;11;18;18;5;18;5;TRUE;TRUE
724;50000;1000;75;11;1;4;4;4;3;3;1;3;1;TRUE;TRUE
725;50000;1000;75;11;1;2;2;2;3;3;1;3;1;TRUE;TRUE
726;50000;1000;75;11;1;13;13;13;17;17;6;17;6;TRUE;TRUE
727;50000;1000;75;11;1;26;31;14;22;22;5;22;4;FALSE;FALSE
728;50000;1000;75;11;1;15;15;15;30;30;6;30;6;TRUE;TRUE
729;50000;1000;75;11;1;13;11;11;28;28;6;28;5;FALSE;FALSE
730;50000;1000;75;11;1;15;16;15;28;28;5;28;4;FALSE;FALSE
731;50000;1000;75;11;1;2;2;2;6;6;2;6;2;TRUE;TRUE
732;50000;1000;75;11;1;5;5;5;6;6;7;6;7;TRUE;TRUE
733;50000;1000;75;11;1;10;10;10;18;18;5;18;4;FALSE;FALSE
734;50000;1000;75;11;1;18;21;12;18;18;5;18;5;TRUE;TRUE
735;50000;1000;75;11;1;20;15;13;25;25;5;25;4;FALSE;FALSE
736;50000;1000;75;11;1;20;18;18;28;28;6;28;5;FALSE;FALSE
737;50000;1000;75;12;1;38;36;33;44;44;3;44;3;TRUE;TRUE
738;50000;1000;75;12;1;18;18;18;27;27;9;27;8;FALSE;FALSE
739;50000;1000;75;12;1;29;13;9;21;21;5;21;4;FALSE;FALSE
740;50000;1000;75;12;1;10;13;10;10;10;8;10;7;FALSE;FALSE
741;50000;1000;75;12;1;1;1;1;3;3;1;3;1;TRUE;TRUE
742;50000;1000;75;12;1;50;32;28;68;68;4;68;3;FALSE;FALSE
743;50000;1000;75;12;1;61;44;43;89;89;7;89;6;FALSE;FALSE
744;50000;1000;75;12;1;6;6;6;6;6;5;6;4;FALSE;FALSE
745;50000;1000;75;12;1;21;20;20;40;40;6;40;6;TRUE;TRUE
746;50000;1000;75;12;1;41;25;25;59;59;4;59;3;FALSE;FALSE
747;50000;1000;75;12;1;15;20;12;23;23;5;23;4;FALSE;FALSE
748;50000;1000;75;12;1;1;1;1;3;3;1;3;1;TRUE;TRUE
749;50000;1000;75;12;1;18;25;15;12;12;6;12;5;FALSE;FALSE
750;50000;1000;75;12;1;3;3;3;3;3;1;3;1;TRUE;TRUE
751;50000;1000;75;12;1;22;12;10;16;16;2;16;2;TRUE;TRUE
752;50000;1000;75;12;1;23;23;23;18;18;8;18;8;TRUE;TRUE
753;50000;1000;75;13;1;74;50;16;34;34;11;34;11;TRUE;TRUE
754;50000;1000;75;13;1;47;47;47;130;130;8;130;7;FALSE;FALSE
755;50000;1000;75;13;1;97;79;77;188;188;4;188;3;FALSE;FALSE
756;50000;1000;75;13;1;21;17;17;37;37;10;37;9;FALSE;FALSE
757;50000;1000;75;13;1;7;7;5;8;8;2;8;2;TRUE;TRUE
758;50000;1000;75;13;1;81;26;18;90;90;2;90;2;TRUE;TRUE
759;50000;1000;75;13;1;4;7;4;10;10;3;10;3;TRUE;TRUE
760;50000;1000;75;13;1;132;80;41;72;72;5;72;4;FALSE;FALSE
761;50000;1000;75;13;1;15;15;15;43;43;5;43;5;TRUE;TRUE
762;50000;1000;75;13;1;36;36;36;60;60;4;60;3;FALSE;FALSE
763;50000;1000;75;13;1;64;56;52;109;109;4;109;3;FALSE;FALSE
764;50000;1000;75;13;1;28;15;10;25;25;2;25;1;FALSE;FALSE
765;50000;1000;75;13;1;5;5;5;9;9;2;9;1;FALSE;FALSE
766;50000;1000;75;13;1;25;20;20;42;42;3;42;2;FALSE;FALSE
767;50000;1000;75;13;1;3;7;3;7;7;2;7;2;TRUE;TRUE
768;50000;1000;75;13;1;11;11;11;27;27;4;27;3;FALSE;FALSE
769;50000;1000;75;14;1;25;21;21;17;17;9;17;8;FALSE;FALSE
770;50000;1000;75;14;1;72;33;27;60;60;5;60;4;FALSE;FALSE
771;50000;1000;75;14;1;14;16;8;12;12;2;12;2;TRUE;TRUE
772;50000;1000;75;14;1;218;163;163;287;287;3;287;2;FALSE;FALSE
773;50000;1000;75;14;1;13;19;13;23;23;2;23;1;FALSE;FALSE
774;50000;1000;75;14;1;8;8;8;16;16;9;16;8;FALSE;FALSE
775;50000;1000;75;14;1;27;20;20;37;37;7;37;7;TRUE;TRUE
776;50000;1000;75;14;1;192;87;87;205;205;12;205;11;FALSE;FALSE
777;50000;1000;75;14;1;5;5;5;12;12;4;12;4;TRUE;TRUE
778;50000;1000;75;14;1;88;83;83;95;95;11;95;11;TRUE;TRUE
779;50000;1000;75;14;1;32;26;21;37;37;9;37;8;FALSE;FALSE
780;50000;1000;75;14;1;115;130;113;242;242;10;242;9;FALSE;FALSE
781;50000;1000;75;14;1;137;105;67;87;87;10;87;9;FALSE;FALSE
782;50000;1000;75;14;1;15;10;4;14;14;2;14;2;TRUE;TRUE
783;50000;1000;75;14;1;111;74;74;118;118;4;118;3;FALSE;FALSE
784;50000;1000;75;14;1;11;11;11;15;15;8;15;7;FALSE;FALSE
785;50000;1000;75;15;1;236;88;66;130;130;6;130;6;TRUE;TRUE
786;50000;1000;75;15;1;9;9;9;9;9;9;9;9;TRUE;TRUE
787;50000;1000;75;15;1;16;14;14;28;28;6;28;6;TRUE;TRUE
788;50000;1000;75;15;1;33;18;18;41;41;8;41;8;TRUE;TRUE
789;50000;1000;75;15;1;192;76;38;106;106;5;106;4;FALSE;FALSE
790;50000;1000;75;15;1;40;44;40;31;31;6;31;6;TRUE;TRUE
791;50000;1000;75;15;1;40;32;18;27;27;3;27;3;TRUE;TRUE
792;50000;1000;75;15;1;41;19;19;36;36;4;36;4;TRUE;TRUE
793;50000;1000;75;15;1;4;4;4;3;3;1;3;1;TRUE;TRUE
794;50000;1000;75;15;1;69;71;68;78;78;9;78;9;TRUE;TRUE
795;50000;1000;75;15;1;62;59;56;136;136;4;136;3;FALSE;FALSE
796;50000;1000;75;15;1;29;21;21;40;40;7;40;6;FALSE;FALSE
797;50000;1000;75;15;1;15;15;15;15;15;8;15;7;FALSE;FALSE
798;50000;1000;75;15;1;35;17;17;27;27;5;27;5;TRUE;TRUE
799;50000;1000;75;15;1;37;9;7;27;27;2;27;2;TRUE;TRUE
800;50000;1000;75;15;1;2;2;2;3;3;1;3;1;TRUE;TRUE
801;50000;1000;75;16;1;126;123;114;89;89;5;89;5;TRUE;TRUE
802;50000;1000;75;16;1;35;37;35;75;75;3;75;2;FALSE;FALSE
803;50000;1000;75;16;1;32;36;30;36;36;4;36;4;TRUE;TRUE
804;50000;1000;75;16;1;112;112;112;162;162;8;162;7;FALSE;FALSE
805;50000;1000;75;16;1;16;16;16;18;18;7;18;7;TRUE;TRUE
806;50000;1000;75;16;1;2;2;2;3;3;1;3;1;TRUE;TRUE
807;50000;1000;75;16;1;39;21;21;64;64;11;64;10;FALSE;FALSE
808;50000;1000;75;16;1;44;41;41;89;89;3;89;2;FALSE;FALSE
809;50000;1000;75;16;1;213;210;160;284;284;12;284;11;FALSE;FALSE
810;50000;1000;75;16;1;76;75;67;94;94;8;94;7;FALSE;FALSE
811;50000;1000;75;16;1;40;13;13;48;48;11;48;10;FALSE;FALSE
812;50000;1000;75;16;1;19;26;19;17;17;13;17;13;TRUE;TRUE
813;50000;1000;75;16;1;23;23;19;42;42;4;42;3;FALSE;FALSE
814;50000;1000;75;16;1;10;10;10;16;16;2;16;2;TRUE;TRUE
815;50000;1000;75;16;1;1;1;1;3;3;1;3;1;TRUE;TRUE
816;50000;1000;75;16;1;24;21;21;39;39;7;39;6;FALSE;FALSE
817;50000;1000;75;17;1;181;101;32;71;71;3;71;3;TRUE;TRUE
818;50000;1000;75;17;1;34;27;23;43;43;5;43;4;FALSE;FALSE
819;50000;1000;75;17;1;67;49;29;39;39;9;39;8;FALSE;FALSE
820;50000;1000;75;17;1;18;24;18;38;38;7;38;7;TRUE;TRUE
821;50000;1000;75;17;1;18;20;18;16;16;7;16;7;TRUE;TRUE
822;50000;1000;75;17;1;11;8;6;16;16;3;16;3;TRUE;TRUE
823;50000;1000;75;17;1;2;2;2;3;3;1;3;1;TRUE;TRUE
824;50000;1000;75;17;1;10;19;10;8;8;2;8;2;TRUE;TRUE
825;50000;1000;75;17;1;60;60;60;42;42;11;42;11;TRUE;TRUE
826;50000;1000;75;17;1;41;21;21;51;51;9;51;8;FALSE;FALSE
827;50000;1000;75;17;1;46;15;15;31;31;8;31;8;TRUE;TRUE
828;50000;1000;75;17;1;48;48;48;78;78;4;78;3;FALSE;FALSE
829;50000;1000;75;17;1;22;12;12;38;38;9;38;8;FALSE;FALSE
830;50000;1000;75;17;1;6;9;6;10;10;4;10;3;FALSE;FALSE
831;50000;1000;75;17;1;88;109;60;124;124;11;124;11;TRUE;TRUE
832;50000;1000;75;17;1;3;3;3;3;3;1;3;1;TRUE;TRUE
833;50000;1000;75;18;1;4;4;4;6;6;8;6;7;FALSE;FALSE
834;50000;1000;75;18;1;33;33;33;27;27;12;27;11;FALSE;FALSE
835;50000;1000;75;18;1;13;13;13;9;9;6;9;5;FALSE;FALSE
836;50000;1000;75;18;1;29;25;25;45;45;7;45;6;FALSE;FALSE
837;50000;1000;75;18;1;6;6;6;6;6;9;6;8;FALSE;FALSE
838;50000;1000;75;18;1;88;88;88;63;63;14;63;14;TRUE;TRUE
839;50000;1000;75;18;1;22;17;17;49;49;8;49;8;TRUE;TRUE
840;50000;1000;75;18;1;39;46;39;32;32;7;32;7;TRUE;TRUE
841;50000;1000;75;18;1;185;58;33;98;98;9;98;9;TRUE;TRUE
842;50000;1000;75;18;1;305;102;82;157;157;9;157;9;TRUE;TRUE
843;50000;1000;75;18;1;230;80;30;138;138;6;138;6;TRUE;TRUE
844;50000;1000;75;18;1;122;126;76;136;136;4;136;3;FALSE;FALSE
845;50000;1000;75;18;1;42;22;22;42;42;2;42;1;FALSE;FALSE
846;50000;1000;75;18;1;7;7;7;12;12;11;12;10;FALSE;FALSE
847;50000;1000;75;18;1;117;84;26;79;79;8;79;7;FALSE;FALSE
848;50000;1000;75;18;1;124;82;57;75;75;10;75;9;FALSE;FALSE
849;50000;1000;75;19;1;133;48;43;102;102;5;102;5;TRUE;TRUE
850;50000;1000;75;19;1;5;6;5;7;7;2;7;2;TRUE;TRUE
851;50000;1000;75;19;1;57;132;52;45;45;4;45;4;TRUE;TRUE
852;50000;1000;75;19;1;5;5;5;6;6;2;6;2;TRUE;TRUE
853;50000;1000;75;19;1;94;38;31;63;63;7;63;7;TRUE;TRUE
854;50000;1000;75;19;1;319;136;114;142;142;7;142;6;FALSE;FALSE
855;50000;1000;75;19;1;3;3;3;3;3;1;3;1;TRUE;TRUE
856;50000;1000;75;19;1;156;129;83;121;121;7;121;7;TRUE;TRUE
857;50000;1000;75;19;1;34;46;34;55;55;11;55;10;FALSE;FALSE
858;50000;1000;75;19;1;12;22;12;27;27;4;27;4;TRUE;TRUE
859;50000;1000;75;19;1;75;34;31;78;78;8;78;8;TRUE;TRUE
860;50000;1000;75;19;1;9;9;9;12;12;6;12;5;FALSE;FALSE
861;50000;1000;75;19;1;105;39;39;63;63;5;63;4;FALSE;FALSE
862;50000;1000;75;19;1;1;1;1;3;3;1;3;1;TRUE;TRUE
863;50000;1000;75;19;1;473;422;301;416;416;13;416;13;TRUE;TRUE
864;50000;1000;75;19;1;6;6;6;7;7;2;7;2;TRUE;TRUE
865;50000;1000;75;20;1;270;83;65;100;100;9;100;9;TRUE;TRUE
866;50000;1000;75;20;1;35;23;9;27;27;3;27;3;TRUE;TRUE
